source_file,source_table,survey_year,metric,tenure,breakdown_var,breakdown_val,geography,stat_type,quality_measure,quality_value,quality_unit,reliability_flag,reliability_note
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_over_50,owner_mortgage,owner,Owner with a mortgage,National,all_households,moe_95,1.1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_total,owner_mortgage,owner,Owner with a mortgage,National,all_households,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_over_30,owner_mortgage,owner,Owner with a mortgage,National,all_households,moe_95,1.4,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,households_000,owner_mortgage,owner,Owner with a mortgage,National,all_households,rse_pct,1.4,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_or_less,owner_total,owner,Total owners,National,all_households,moe_95,1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_to_30,owner_total,owner,Total owners,National,all_households,moe_95,0.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_30_to_50,owner_total,owner,Total owners,National,all_households,moe_95,0.7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_over_50,owner_total,owner,Total owners,National,all_households,moe_95,0.7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_total,owner_total,owner,Total owners,National,all_households,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_over_30,owner_total,owner,Total owners,National,all_households,moe_95,0.9,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,households_000,owner_total,owner,Total owners,National,all_households,rse_pct,0.8,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_or_less,renter_social,renter,State or territory housing authority,National,all_households,moe_95,5.2,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_to_30,renter_social,renter,State or territory housing authority,National,all_households,moe_95,3.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_30_to_50,renter_social,renter,State or territory housing authority,National,all_households,moe_95,2.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_total,renter_social,renter,State or territory housing authority,National,all_households,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_over_30,renter_social,renter,State or territory housing authority,National,all_households,moe_95,2.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,households_000,renter_social,renter,State or territory housing authority,National,all_households,rse_pct,6.1,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_or_less,renter_private,renter,Private landlord,National,all_households,moe_95,2.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_to_30,renter_private,renter,Private landlord,National,all_households,moe_95,1.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
