survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,2.6,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | 15 to 24,National,count
2019-20,2.8,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | 25 to 34,National,count
2019-20,3.2,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | 35 to 44,National,count
2019-20,3.4,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | 45 to 54,National,count
2019-20,3.3,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | 55 to 64,National,count
2019-20,3.1,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | 65 to 74,National,count
2019-20,2.8,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | 75 and over,National,count
2019-20,3.1,average_bedrooms,all,number_of_employed_persons_in_household_by_age_group,Average number of bedrooms in dwelling | all households,National,count
2019-20,395,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | 15 to 24,National,count
2019-20,2039,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | 25 to 34,National,count
2019-20,2661,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | 35 to 44,National,count
2019-20,2793,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | 45 to 54,National,count
2019-20,2826,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | 55 to 64,National,count
2019-20,2441,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | 65 to 74,National,count
2019-20,1856,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | 75 and over,National,count
2019-20,15011,households_in_sample,all,number_of_employed_persons_in_household_by_age_group,Number of households in sample | all households,National,count
